date,daily_return
2024-01-01,-0.0021030540053551144
2024-01-02,0.19242386695081154
2024-01-03,-2.8079895495128895
2024-01-04,1.1067660158130799
2024-01-05,0.7993199529071396
2024-01-08,1.8122277955547899
2024-01-09,-0.8938205614239279
2024-01-10,0.5851300464102189
2024-01-11,-0.6378913407539946
2024-01-12,2.079859685187362
2024-01-15,-0.9061670137597588
2024-01-16,-1.890989982302693
2024-01-17,-1.6346662526650069
2024-01-18,1.9961265966162238
2024-01-19,0.34294084121827934
2024-01-22,1.2492217764067683
2024-01-23,-0.3427626237196298
2024-01-24,3.180858420098821
2024-01-25,-0.08595967847042466
2024-01-26,1.495138023320255
2024-01-29,-0.10322564280312876
2024-01-30,0.4266098230952326
2024-01-31,-0.8996250531258451
2024-02-01,-0.30701346105131794
2024-02-02,0.6016774894997587
2024-02-05,-0.34472560907690086
2024-02-06,1.7713523294565363
2024-02-07,-0.22231442551485361
2024-02-08,0.7958890778591287
2024-02-09,0.7640090047041989
2024-02-12,0.5904022866119263
2024-02-13,-3.700487477212895
2024-02-14,1.4415421882515578
2024-02-15,1.8492634115181112
2024-02-16,1.4136779053969417
2024-02-19,0.1744412075687241
2024-02-20,-1.0743152063338506
2024-02-21,1.131191620058934
2024-02-22,4.265474921973225
2024-02-23,0.7139720837140022
2024-02-26,-0.18335328490207975
2024-02-27,1.8053787497769076
2024-02-28,-0.8985382835219435
2024-02-29,0.15008844227935927
2024-03-01,1.0384190524853791
2024-03-04,1.0989980983580523
2024-03-05,-1.7227035435904563
2024-03-06,1.5034877396778883
2024-03-07,3.589303561847024
2024-03-08,-1.0653874638786665
2024-03-11,-2.8545125179011857
2024-03-12,4.19672231023463
2024-03-13,2.0509081168321615
2024-03-14,-1.2850350810690396
2024-03-15,0.05048328320005539
2024-03-18,-0.7188637216463553
2024-03-19,1.571186975655912
2024-03-20,0.8154783140911309
2024-03-21,2.9582157269174094
2024-03-22,-0.9741290939077873
2024-03-25,1.8183722849971011
2024-03-26,2.228117675523666
2024-03-27,1.5789862464534374
2024-03-28,-0.736867065163116
2024-03-29,0.0
2024-04-01,0.0
2024-04-02,0.0
2024-04-03,0.0
2024-04-04,0.0
2024-04-05,0.0
2024-04-08,0.0
2024-04-09,0.0
2024-04-10,0.0
2024-04-11,0.0
2024-04-12,0.0
2024-04-15,0.0
2024-04-16,0.0
2024-04-17,0.0
2024-04-18,0.0
2024-04-19,0.0
2024-04-22,0.0
2024-04-23,0.0
2024-04-24,0.0
2024-04-25,0.0
2024-04-26,0.0
2024-04-29,0.0
2024-04-30,0.0
2024-05-01,0.0
2024-05-02,0.0
2024-05-03,0.0
2024-05-06,0.0
2024-05-07,0.0
2024-05-08,0.0
2024-05-09,0.0
2024-05-10,0.0
2024-05-13,0.0
2024-05-14,0.0
2024-05-15,0.0
2024-05-16,-1.5035945070590105e-07
2024-05-17,0.0
2024-05-20,0.0
2024-05-21,0.0
2024-05-22,0.0
2024-05-23,0.0
2024-05-24,0.0
2024-05-27,0.0
2024-05-28,0.0
2024-05-29,0.0
2024-05-30,0.0
2024-05-31,0.0
2024-06-03,0.0
2024-06-04,0.0
2024-06-05,0.0
2024-06-06,0.0
2024-06-07,0.0
2024-06-10,0.0
2024-06-11,0.0
2024-06-12,0.0
2024-06-13,0.0
2024-06-14,0.0
2024-06-17,0.0
2024-06-18,0.0
2024-06-19,0.0
2024-06-20,0.0
2024-06-21,0.0
2024-06-24,0.0
