date,account_value
2024-01-01,-21.030540053551146
2024-01-02,1924.2386695081154
2024-01-03,-28079.895495128894
2024-01-04,11067.660158130799
2024-01-05,7993.199529071397
2024-01-08,18122.2779555479
2024-01-09,-8938.20561423928
2024-01-10,5851.300464102189
2024-01-11,-6378.913407539946
2024-01-12,20798.59685187362
2024-01-15,-9061.670137597588
2024-01-16,-18909.899823026928
2024-01-17,-16346.662526650069
2024-01-18,19961.265966162235
2024-01-19,3429.408412182793
2024-01-22,12492.217764067684
2024-01-23,-3427.6262371962976
2024-01-24,31808.58420098821
2024-01-25,-859.5967847042465
2024-01-26,14951.38023320255
2024-01-29,-1032.2564280312877
2024-01-30,4266.098230952326
2024-01-31,-8996.25053125845
2024-02-01,-3070.134610513179
2024-02-02,6016.774894997588
2024-02-05,-3447.2560907690086
2024-02-06,17713.523294565362
2024-02-07,-2223.144255148536
2024-02-08,7958.890778591286
2024-02-09,7640.090047041989
2024-02-12,5904.022866119263
2024-02-13,-37004.87477212895
2024-02-14,14415.421882515577
2024-02-15,18492.63411518111
2024-02-16,14136.779053969418
2024-02-19,1744.412075687241
2024-02-20,-10743.152063338504
2024-02-21,11311.916200589341
2024-02-22,42654.74921973225
2024-02-23,7139.720837140022
2024-02-26,-1833.5328490207976
2024-02-27,18053.787497769077
2024-02-28,-8985.382835219436
2024-02-29,1500.8844227935929
2024-03-01,10384.19052485379
2024-03-04,10989.980983580523
2024-03-05,-17227.035435904563
2024-03-06,15034.877396778882
2024-03-07,35893.03561847024
2024-03-08,-10653.874638786665
2024-03-11,-28545.125179011855
2024-03-12,41967.2231023463
2024-03-13,20509.08116832162
2024-03-14,-12850.350810690397
2024-03-15,504.83283200055405
2024-03-18,-7188.637216463553
2024-03-19,15711.86975655912
2024-03-20,8154.783140911309
2024-03-21,29582.157269174095
2024-03-22,-9741.290939077873
2024-03-25,18183.72284997101
2024-03-26,22281.176755236662
2024-03-27,15789.862464534375
2024-03-28,-7368.67065163116
2024-03-29,0.0
2024-04-01,0.0
2024-04-02,0.0
2024-04-03,0.0
2024-04-04,0.0
2024-04-05,0.0
2024-04-08,0.0
2024-04-09,0.0
2024-04-10,0.0
2024-04-11,0.0
2024-04-12,0.0
2024-04-15,0.0
2024-04-16,0.0
2024-04-17,0.0
2024-04-18,0.0
2024-04-19,0.0
2024-04-22,0.0
2024-04-23,0.0
2024-04-24,0.0
2024-04-25,0.0
2024-04-26,0.0
